icp_number,meter_serial_number,channel_number,started_at,ended_at,value,unit_code,status
0005045312RN131,208211246,1,23/12/2020 22:00,23/12/2020 22:29,0.109,kWh,validated
0005045312RN131,208211246,1,23/12/2020 22:30,23/12/2020 22:59,0.130,kWh,validated
0005045312RN131,208211246,1,23/12/2020 23:00,23/12/2020 23:29,0.080,kWh,validated
0005045312RN131,208211246,1,23/12/2020 23:30,23/12/2020 23:59,0.077,kWh,validated
0005045312RN131,208211246,1,24/12/2020 00:00,24/12/2020 00:29,0.075,kWh,validated
0005045312RN131,208211246,1,24/12/2020 00:30,24/12/2020 00:59,0.073,kWh,validated
0005045312RN131,208211246,1,24/12/2020 01:00,24/12/2020 01:29,0.075,kWh,validated
0005045312RN131,208211246,1,24/12/2020 01:30,24/12/2020 01:59,0.269,kWh,validated
0005045312RN131,208211246,1,24/12/2020 02:00,24/12/2020 02:29,0.086,kWh,validated
0005045312RN131,208211246,1,24/12/2020 02:30,24/12/2020 02:59,0.084,kWh,validated
0005045312RN131,208211246,1,24/12/2020 03:00,24/12/2020 03:29,0.077,kWh,validated
0005045312RN131,208211246,1,24/12/2020 03:30,24/12/2020 03:59,0.066,kWh,validated
0005045312RN131,208211246,1,24/12/2020 04:00,24/12/2020 04:29,0.064,kWh,validated
0005045312RN131,208211246,1,24/12/2020 04:30,24/12/2020 04:59,0.062,kWh,validated
0005045312RN131,208211246,1,24/12/2020 05:00,24/12/2020 05:29,0.028,kWh,validated
0005045312RN131,208211246,1,24/12/2020 05:30,24/12/2020 05:59,0.054,kWh,validated
0005045312RN131,208211246,1,24/12/2020 06:00,24/12/2020 06:29,0.064,kWh,validated
0005045312RN131,208211246,1,24/12/2020 06:30,24/12/2020 06:59,0.070,kWh,validated
0005045312RN131,208211246,1,24/12/2020 07:00,24/12/2020 07:29,0.049,kWh,validated
0005045312RN131,208211246,1,24/12/2020 07:30,24/12/2020 07:59,0.070,kWh,validated
0005045312RN131,208211246,1,24/12/2020 08:00,24/12/2020 08:29,0.066,kWh,validated
0005045312RN131,208211246,1,24/12/2020 08:30,24/12/2020 08:59,0.064,kWh,validated
0005045312RN131,208211246,1,24/12/2020 09:00,24/12/2020 09:29,0.064,kWh,validated
0005045312RN131,208211246,1,24/12/2020 09:30,24/12/2020 09:59,0.062,kWh,validated
0005045312RN131,208211246,1,24/12/2020 10:00,24/12/2020 10:29,0.062,kWh,validated
0005045312RN131,208211246,1,24/12/2020 10:30,24/12/2020 10:59,0.064,kWh,validated
0005045312RN131,208211246,1,24/12/2020 11:00,24/12/2020 11:29,0.159,kWh,validated
0005045312RN131,208211246,1,24/12/2020 11:30,24/12/2020 11:59,0.069,kWh,validated
0005045312RN131,208211246,1,24/12/2020 12:00,24/12/2020 12:29,0.092,kWh,validated
0005045312RN131,208211246,1,24/12/2020 12:30,24/12/2020 12:59,0.048,kWh,validated
0005045312RN131,208211246,1,24/12/2020 13:00,24/12/2020 13:29,0.074,kWh,validated
0005045312RN131,208211246,1,24/12/2020 13:30,24/12/2020 13:59,0.043,kWh,validated
0005045312RN131,208211246,1,24/12/2020 14:00,24/12/2020 14:29,0.082,kWh,validated
0005045312RN131,208211246,1,24/12/2020 14:30,24/12/2020 14:59,0.051,kWh,validated
0005045312RN131,208211246,1,24/12/2020 15:00,24/12/2020 15:29,0.069,kWh,validated
0005045312RN131,208211246,1,24/12/2020 15:30,24/12/2020 15:59,0.050,kWh,validated
0005045312RN131,208211246,1,24/12/2020 16:00,24/12/2020 16:29,0.077,kWh,validated
0005045312RN131,208211246,1,24/12/2020 16:30,24/12/2020 16:59,0.033,kWh,validated
0005045312RN131,208211246,1,24/12/2020 17:00,24/12/2020 17:29,0.102,kWh,validated
0005045312RN131,208211246,1,24/12/2020 17:30,24/12/2020 17:59,0.059,kWh,validated
0005045312RN131,208211246,1,24/12/2020 18:00,24/12/2020 18:29,0.079,kWh,validated
0005045312RN131,208211246,1,24/12/2020 18:30,24/12/2020 18:59,0.079,kWh,validated
0005045312RN131,208211246,1,24/12/2020 19:00,24/12/2020 19:29,0.076,kWh,validated
0005045312RN131,208211246,1,24/12/2020 19:30,24/12/2020 19:59,0.074,kWh,validated
0005045312RN131,208211246,1,24/12/2020 20:00,24/12/2020 20:29,0.072,kWh,validated
0005045312RN131,208211246,1,24/12/2020 20:30,24/12/2020 20:59,0.072,kWh,validated
0005045312RN131,208211246,1,24/12/2020 21:00,24/12/2020 21:29,0.030,kWh,validated
0005045312RN131,208211246,1,24/12/2020 21:30,24/12/2020 21:59,0.081,kWh,validated
0005045312RN131,208211246,1,24/12/2020 22:00,24/12/2020 22:29,0.214,kWh,validated
0005045312RN131,208211246,1,24/12/2020 22:30,24/12/2020 22:59,0.283,kWh,validated
0005045312RN131,208211246,1,24/12/2020 23:00,24/12/2020 23:29,0.308,kWh,validated
0005045312RN131,208211246,1,24/12/2020 23:30,24/12/2020 23:59,0.252,kWh,validated
0005045312RN131,208211246,1,25/12/2020 00:00,25/12/2020 00:29,0.257,kWh,validated
0005045312RN131,208211246,1,25/12/2020 00:30,25/12/2020 00:59,0.235,kWh,validated
0005045312RN131,208211246,1,25/12/2020 01:00,25/12/2020 01:29,0.234,kWh,validated
0005045312RN131,208211246,1,25/12/2020 01:30,25/12/2020 01:59,0.187,kWh,validated
0005045312RN131,208211246,1,25/12/2020 02:00,25/12/2020 02:29,0.041,kWh,validated
0005045312RN131,208211246,1,25/12/2020 02:30,25/12/2020 02:59,0.062,kWh,validated
0005045312RN131,208211246,1,25/12/2020 03:00,25/12/2020 03:29,0.042,kWh,validated
